Restaurant Name,Category,Rating,Cost for two,Area,Locality,Address,Veg,Long Distance Delivery
CHINESE MYSTIC,"Chinese,Snacks,Beverages",NA,300,Lanka,Lanka,"B8/24 Bada Gambhir Singh, Sonarpura ,  Bag Hadha, Nagar Nigam Food Safety  Zone-12, Varanasi, Uttar Pradesh - 221001",True,0
PIZZA CAFE CORNER,"Pizzas,Burgers,Fast Food,Snacks",NA,200,Lanka,Lanka,"N14/115, SARAINANDAN, khojawan,  VARANASI, Chhitupur, Mahmoorganj,  Varanasi, Uttar Pradesh, , Bazardiha,  Nagar Nigam Food Safety Zone-18,  Varanasi, Uttar Pradesh - 221010",False,0
Keventers - Milkshakes and Desserts,"Beverages,Ice Cream,Desserts,Healthy Food",4.4,300,Bhelupur,Bhelupur,"Laddha House, B 65, Lane 13, Ravindrapuri, Bhelupur Varanasi",True,0
Cake Corner,Bakery,NA,300,Nadesar,Nadesar,"araji no 1272, mauja khajuri,Infront Of Police Chowki, Pandeypur, Varanasi",False,0
Chinese Hub,Chinese,NA,300,IIT,IIT,"N - 13/209 H - 1, SUNDERPUR VARANASI,  Nagar Nigam Food Safety Zone-16, Varanas 221005",False,0
Maharaja Foods - Lanka,"Snacks,Chinese,North Indian,Biryani",3.9,200,Lanka,Lanka,"Pandit Madan Mohan Malviya Road, Lal Bihari Market, BHU, Near Heritage Hospital, Lanka, Varanasi",False,1
Captain Nova,"Indian,Mexican,Pizzas,Biryani",3.4,500,Bhelupur,Lanka,"Captain Nova, Anandbagh, Bhelupur, Varanasi, Uttar Pradesh, India",False,0
CAKE PALACE,Bakery,NA,200,Nadesar,Nadesar,"18B bhubneswar nagar colony , Mahabeer road, Varanasi, Uttar Pradesh 221002, India",True,0
Kemcho foodies,"North Indian,Continental,Chinese,Biryani",NA,250,Nadesar,Nadesar,"S9 475 A1 nai basti pandeypur , Nai Basti, Nagar Nigam Food Safety Zone-2, Varanasi221002",False,0
Bangali Bhojan,"North Indian,Indian,Thalis",NA,150,Nadesar,Nadesar,"146, Bhubaneswar Nagar Colony, Vindhya Vasini Nagar Colony, Orderly Bazar, Varanasi, Uttar Pradesh 221002, India",False,0
Manya Chinese Kitchen,"Chinese,Snacks",NA,350,Nadesar,Nadesar,"Sudhakar Road Khajuri, near post office, Pandeypur, Varanasi",False,0
DELIGHT MOMO,Chinese,NA,200,Nadesar,Nadesar,"Nai Basti Panchkoshi Road, Pandeypur,  Varanasi, Pandeypur, Nagar Nigam Food  Safety Zone-2, Varanasi, Uttar Pradesh -  221002",False,0
Royal livin,"North Indian,Chinese,Snacks,Fast Food",NA,300,IIT,IIT,Plot no 32 b gurudham colony bhelupur varanasi-221005,False,0
Kulfi Bites,"Desserts,Sweets",NA,200,IIT,IIT,"N8/180-100, Nandan Nagar, Newada, Varanasi, Uttar Pradesh 221010, India",True,0
CAKE MAP,Bakery,NA,200,Nadesar,Nadesar,"18 B bhubneswar nagar, tagore town orderly bazar",True,0
RomasBakery,Bakery,NA,300,Nadesar,Nadesar,"araji no 1272, mauja khajuri,Infront Of Police Chowki, Pandeypur, Varanasi",False,0
Yummy Treat Bakery,Bakery,NA,300,Nadesar,Nadesar,"Add. araji no 1272, mauja khajuri,Infront Of Police Chowki, Pandeypur, Varanasi",False,0
Sweet Tooth Bakery,Bakery,NA,300,Nadesar,Nadesar,"araji no 1272, mauja khajuri,Infront Of Police Chowki, Pandeypur, Varanasi-221002",False,0
MUM'S KITCHEN,Chinese,NA,200,Lanka,Lanka,"B 24/62 KASHMIRI GANJ KHOJWA CHHITUPUR, MAHMOORGANJ VARANASI ,BHELUPUR NAGAR NIGAM FOOD SAFETY ZONE-17 VARANASI UTTAR PRADESH-221010",False,0
Sweetheart Bakers,Bakery,NA,250,Nadesar,Nadesar,"S9/479-D nai basti pandeypur, varansai  221002",False,0
Food Pavalion,"North Indian,Fast Food,Indian",NA,400,Lanka,Lanka,B 9/47  Pilkhana  Shivala  Varanasi,False,0
RASDHAM  MISTHAN AND RESTAURANT,"Sweets,Chinese,South Indian,Snacks",NA,200,Lanka,Lanka,"N -1/66-E Nagwa Samneghat Varanasi,  Nagwa, Nagar Nigam Food Safety  Zone-16, Varanasi, Uttar Pradesh - 221005/ Rasdham Misthan and  Bakers",False,0
99 Chickens,"Pizzas,Desserts,Beverages,Snacks,American",4.0,250,Bhelupur,Lanka,"House No.B 27/78-B-1-(65), Satya Complex, Gurudham Chauraha, Varanasi, District - Varanasi, STATE - Uttar Pradesh",False,0
GOLDEN CHARIOT,"Indian,Chinese,Biryani",NA,200,Nadesar,Nadesar,"S.2/326, E-3A, Kautilya Kon Rd, Near Trimurti Hospital, Gilat Bazar, Bhojuveer, Varanasi, Uttar Pradesh 221003, India",False,0
7th Heaven,"Bakery,Desserts,Pizzas",4.3,300,Lanka,Lanka,"B 27/92-66, Chetmani Chauraha, near Ujala Cygnus Hospital, Jawahar Nagar Colony, Bhelupur, Varanasi, Uttar Pradesh 221005, India",True,0
Goli vada pav no 1,Snacks,4.2,300,Bhelupur,Lanka,SHOP NO.14 B 27/96-K-1-F-14 GROUND FLOOR GURUDHAM AVASIYA YOJANA DURGAKUND VARANASI,False,0
WOW PIZZA AND BURGER,"Pizzas,Fast Food,Combo",NA,250,Nadesar,Nadesar,"NAI BASTI, PANCHKOSHI ROAD, NEAR  MARUKA MANDIR PANDEYPUR,VARANASI  UTTAR PRADESH -221002 , Nai Basti,  Nagar Nigam Food Safety Zone-2,  Varanasi, Uttar Pradesh - 221002",False,0
Be 33 Momos,"Street Food,North Indian,Indian",3.3,100,Nagwa,IIT,"B 33 /54 Batuapura Sundarpur Varanasi ,  Varanasi, Uttar Pradesh-",False,0
Chaurasia Idli Dosa Corner,"Street Food,Indian",3.6,50,Karaundi,IIT,"Opp. Rudra Tower apartment, Near Sunderpur Crossing, Sunderpur,  Varanasi, Uttar Pradesh-",True,0
Biryani Hotshot,"Biryani,Beverages",4.0,300,Bhelupur,Bhelupur,B3/354 lane no.8 RAVINDRAPURI colony varanasi 221005,False,0
99 Pancakes,"Bakery,Waffle,Beverages",4.2,300,Lanka,Lanka,"Sandeep shah, B-27/92- 62A Ravindrapuri colony Varanasi - 221005",False,0
Delhi Food Court,"Chinese,Indian,Biryani",2.5,300,Nagwa,IIT,"in Food Fictory Restaurant,N2/ 208 A1 Sunderpur , Pani ki Tanki K samne, Varanasi",False,0
Banarasizaika,"Chinese,Fast Food,Snacks",NA,2,Nadesar,Nadesar,"9X3V+C9R, Pandeypur, Varanasi, Uttar Pradesh 221002, India",True,0
The food garage,"North Indian,Continental,Chinese,Biryani,Pizzas",NA,250,Nadesar,Nadesar,"S9 475 A1 nai basti pandeypur , Nai Basti, Nagar Nigam Food Safety Zone-2, Varanasi 221002",False,0
The Kerala House And Cafe,South Indian,3.1,200,Naria,Bhelupur,Kabirnagar near J R S Coaching kevaldham  Varanasi,True,1
Mr Waffle therapist,"Pizzas,Beverages,Snacks,Desserts,American",3.9,200,Bhelupur,Lanka,"House	no	B	27/78-B-1,	Satya	complex	Gurudham	Chauraha,	Varanasi-221005",False,0
99 not out,"Indian,North Indian,Chinese,Tandoor,Biryani",NA,199,Lanka,Lanka,"B26/24-2, Nawabganj, Durgakund, Jawahar Nagar Colony, Bhelupur, Varanasi, Uttar Pradesh 221001, India",False,0
